segment,E,N,U
ligne_droite,-173.24597746133804,68.69902421860024,-3.0259045362472534
ligne_droite,-173.59216886758804,66.70267106918618,-3.026934504508972
ligne_droite,-173.03,63.631,-3.002930521965027
ligne_droite,-172.1089077591896,61.18389131454751,-2.995780825614929
ligne_droite,-169.25827604532242,58.89373399643228,-2.7135332822799683
ligne_droite,-166.4654751420021,58.38858796982095,-2.697459101676941
ligne_droite,-164.32446867227554,58.83662034897134,-2.6978172063827515
ligne_droite,-162.28255277872086,59.9949493589811,-2.937670588493347
ligne_droite,-160.4955044388771,63.04835130600259,-2.6778968572616577
ligne_droite,-160.33968168497086,65.97583391098306,-2.8894938230514526
ligne_droite,-160.33968168497086,65.97583391098306,-2.8894938230514526
ligne_droite,-160.31693083047867,68.86683275131509,-2.6582545042037964
ligne_droite,-161.27988249063492,72.11664964584634,-2.6083468198776245
ligne_droite,-162.1223812699318,74.44597246078774,-2.607549548149109
ligne_droite,-162.7730923295021,76.78173448471352,-2.614867568016052
ligne_droite,-162.9028530716896,79.31252672104165,-2.650326132774353
ligne_droite,-161.63,83.018,-2.969018816947937
ligne_droite,-159,87.08,-3.033873438835144
ligne_droite,-154.68367582559586,92.5423240843229,-3.0998867750167847
ligne_droite,-130.72,119.49,-3.0998867750167847
ligne_droite,-126.28,123.09,-2.5503543615341187
ligne_droite,-122.3216992020607,125.58723832992835,-2.39714252948761
ligne_droite,-119.76516538858414,126.66450120834634,-2.2992852926254272
ligne_droite,-117.13502317667007,127.36292650131509,-2.1901785135269165
ligne_droite,-112.62692838907242,127.69177629379556,-2.025049090385437
ligne_droite,-107.8523159623146,127.0811195555143,-1.9549051523208616
ligne_droite,-104.92134672403336,126.40373613266274,-1.990611433982849
ligne_droite,-101.47,125.65,-1.9282130002975464
ligne_droite,-98.713,125.32,-1.9282130002975464
ligne_droite,-95.531,125.81,-2.024946570396424
ligne_droite,-91.76291471719742,127.25314714340492,-1.8921040296554563
ligne_droite,-89.54047971963882,129.15504838852212,-1.889504551887512
ligne_droite,-87.51819425821304,132.7005500975065,-1.8953922986984253
ligne_droite,-86.99432188272476,135.50400163559243,-1.882625937461853
ligne_droite,-87.3300228714943,138.74013139633462,-1.8870922327041624
ligne_droite,-88.03250700235367,140.66377641586587,-1.8812605142593384
ligne_droite,-88.789,141.98,-2.000409722328186
ligne_droite,-90.18380552530289,143.657459277194,-1.879189133644104
ligne_droite,-91.44863706827164,144.71506120590493,-1.883595585823059
ligne_droite,-92.87056547403336,145.56473161606118,-1.8758383989334104
ligne_droite,-94.533,146.24,-1.9902952909469604
ligne_droite,-96.039,146.58,-1.9860330820083616
ligne_droite,-99.363,146.6,-1.9867562055587769
ligne_droite,-102.79826933145524,145.7523079100065,-1.8827677965164185
ligne_droite,-105.14,144.77,-2.0002931356430054
ligne_droite,-105.14,144.77,-2.0002931356430054
ligne_droite,-107.5201626420021,143.34254838852212,-1.8663734197616575
ligne_droite,-108.99638944864272,142.30952836899087,-1.8722392320632932
ligne_droite,-111.1118832230568,140.60994340805337,-1.8698261976242063
ligne_droite,-113.41802030801772,138.5172004881315,-1.8915306329727173
ligne_droite,-117.12964445352554,134.91281511215493,-2.0790408849716187
ligne_droite,-123.95908933877944,127.6110496702604,-2.361596703529358
ligne_droite,-126.456052839756,124.2815056028776,-2.5503543615341187
ligne_droite,-154.68367582559586,92.5423240843229,-3.0998867750167847
ligne_droite,-159,87.08,-3.033873438835144
ligne_droite,-162.06885343790054,84.33545305160806,-2.969018816947937
ligne_droite,-163.94377714395523,82.24975969223306,-2.959000945091248
ligne_droite,-168.9386654496193,76.5320701780729,-2.9612897634506226
ligne_droite,-171.17659574747086,73.35036088852212,-2.975619673728943
ligne_droite,-172.20602995157242,71.46225358871743,-3.0022352933883667
ligne_droite,-173.24597746133804,68.69902421860024,-3.0259045362472534
rond_point_haut,-99.363,146.6,-1.9867562055587769
rond_point_haut,-102.58,145.4,-1.8827677965164185
rond_point_haut,-104.24971586465836,144.03311540512368,-2.0002931356430054
rond_point_haut,-105.3952084183693,142.686756152194,-1.9951859712600708
rond_point_haut,-106.80964475870132,139.9871711912565,-2.001963257789612
rond_point_haut,-107.3416958451271,137.9173469725065,-1.9762316942214968
rond_point_haut,-107.4708462357521,136.22534562973306,-1.9569560289382932
rond_point_haut,-107.1770229935646,133.71062089828774,-1.9485901594161987
rond_point_haut,-106.4836636185646,131.72342302231118,-1.942160487174988
rond_point_haut,-105.1433544754982,129.567127245944,-1.9423362016677856
rond_point_haut,-103.65083891153336,128.0540199461393,-1.944313168525696
rond_point_haut,-102.2583447098732,127.08881761459634,-1.9282130002975464
rond_point_haut,-100.73318296670914,126.3620720091276,-1.9106501340866089
rond_point_haut,-98.6898861527443,125.8232536497526,-1.895318865776062
rond_point_haut,-95.531,125.81,-2.024946570396424
rond_point_haut,-91.76291471719742,127.25314714340492,-1.8921040296554563
rond_point_haut,-89.54047971963882,129.15504838852212,-1.889504551887512
rond_point_haut,-87.51819425821304,132.7005500975065,-1.8953922986984253
rond_point_haut,-86.99432188272476,135.50400163559243,-1.882625937461853
rond_point_haut,-87.3300228714943,138.74013139633462,-1.8870922327041624
rond_point_haut,-88.03250700235367,140.66377641586587,-1.8812605142593384
rond_point_haut,-88.789,141.98,-2.000409722328186
rond_point_haut,-90.18380552530289,143.657459277194,-1.879189133644104
rond_point_haut,-91.44863706827164,144.71506120590493,-1.883595585823059
