segment,latitude,longitude
rond_point_bas,49.4019137,2.7948492
rond_point_bas,49.4019281,2.7948419
rond_point_bas,49.4019441,2.7948276
rond_point_bas,49.4019538,2.7948129
rond_point_bas,49.4019611,2.7947922
rond_point_bas,49.4019662,2.7947579
rond_point_bas,49.4019642,2.7947242
rond_point_bas,49.4019516,2.7946974
rond_point_bas,49.4019409,2.7946784
rond_point_bas,49.4019204,2.7946688
rond_point_bas,49.4018904,2.7946679
rond_point_bas,49.4018651,2.7946799
rond_point_bas,49.4018432,2.7947273
rond_point_bas,49.4018415,2.7947709
rond_point_bas,49.4018508,2.7948036
rond_point_bas,49.4018628,2.7948289
rond_point_bas,49.4018907,2.7948479
rond_point_bas,49.4019137,2.7948492
sortie_rond_point_bas,49.4019137,2.7948492
sortie_rond_point_bas,49.4019405,2.7948531
sortie_rond_point_bas,49.4019713,2.7948499
sortie_rond_point_bas,49.4019917,2.7948282
sortie_rond_point_bas,49.4020116,2.7948122
sortie_rond_point_bas,49.402037,2.7948074
sortie_rond_point_bas,49.4020763,2.7948361
ligne_droite,49.4020763,2.7948361
ligne_droite,49.4021041,2.7948731
ligne_droite,49.4021525,2.7949377
ligne_droite,49.4024412,2.7953229
entree_rond_point_haut,49.4024412,2.7953229
entree_rond_point_haut,49.4024569,2.795373
entree_rond_point_haut,49.4024684,2.7954116
entree_rond_point_haut,49.402471,2.7954533
entree_rond_point_haut,49.4024698,2.7955147
entree_rond_point_haut,49.4024603,2.7955777
entree_rond_point_haut,49.4024595,2.7956222
entree_rond_point_haut,49.4024626,2.7956552
rond_point_haut,49.4026415,2.7956956
rond_point_haut,49.4026332,2.7956508
rond_point_haut,49.4026192,2.7956225
rond_point_haut,49.4026069,2.7956043
rond_point_haut,49.402583,2.7955837
rond_point_haut,49.4025633,2.7955766
rond_point_haut,49.4025474,2.7955746
rond_point_haut,49.4025215,2.7955807
rond_point_haut,49.402506,2.7955912
rond_point_haut,49.4024849,2.79561
rond_point_haut,49.4024694,2.7956367
rond_point_haut,49.4024626,2.7956552
rond_point_haut,49.4024566,2.7956755
rond_point_haut,49.4024525,2.7957049
rond_point_haut,49.4024503,2.7957514
rond_point_haut,49.4024652,2.7958041
rond_point_haut,49.402484,2.7958351
rond_point_haut,49.4025152,2.7958598
rond_point_haut,49.40254,2.7958685
rond_point_haut,49.4025695,2.7958641
rond_point_haut,49.4025889,2.7958542
rond_point_haut,49.4026051,2.7958395
rond_point_haut,49.4026149,2.7958265
rond_point_haut,49.4026242,2.7958082
rond_point_haut,49.4026326,2.7957871
rond_point_haut,49.4026391,2.7957639
rond_point_haut,49.4026424,2.7957421
rond_point_haut,49.4026415,2.7956956
sortie_rond_point_haut,49.4026192,2.7956225
sortie_rond_point_haut,49.402613,2.7955832
sortie_rond_point_haut,49.4026035,2.7955593
sortie_rond_point_haut,49.4025893,2.7955282
sortie_rond_point_haut,49.4025711,2.7954948
sortie_rond_point_haut,49.4025402,2.7954464
sortie_rond_point_haut,49.4024684,2.7953581
sortie_rond_point_haut,49.4024412,2.7953229
entree_rond_point_bas,49.4020763,2.7948361
entree_rond_point_bas,49.4020616,2.794807
entree_rond_point_bas,49.4020141,2.7947355
entree_rond_point_bas,49.401982,2.7947026
entree_rond_point_bas,49.4019673,2.7946877
entree_rond_point_bas,49.4019409,2.7946784
