segment,E,N,U
ligne_droite,-173.294849,68.835260,-80.502721
ligne_droite,-173.991700,66.555323,-80.502716
ligne_droite,-174.057130,63.218799,-80.502684
ligne_droite,-173.186243,60.404969,-80.502633
ligne_droite,-169.745965,57.969197,-80.502518
ligne_droite,-166.581425,57.780030,-80.502433
ligne_droite,-164.207984,58.814281,-80.502381
ligne_droite,-162.371637,60.148837,-80.502347
ligne_droite,-160.992501,63.251765,-80.502342
ligne_droite,-160.898070,65.809765,-80.502365
ligne_droite,-160.898070,65.809765,-80.502365
ligne_droite,-160.614916,68.790386,-80.502390
ligne_droite,-160.847075,72.215893,-80.502433
ligne_droite,-162.422019,74.484776,-80.502499
ligne_droite,-163.583251,76.698040,-80.502555
ligne_droite,-163.931555,79.522975,-80.502599

ligne_droite,-161.848350,83.893762,-80.502602
ligne_droite,-159.162763,86.985530,-80.502576
ligne_droite,-154.473882,92.368324,-80.502536
ligne_droite,-126.514986,124.476106,-80.502468

ligne_droite,-122.878667,126.222138,-80.502431
ligne_droite,-120.077034,127.501078,-80.502404
ligne_droite,-117.050425,127.790178,-80.502353
ligne_droite,-112.593990,127.656623,-80.502271
ligne_droite,-108.021445,126.599965,-80.502171
ligne_droite,-104.791618,126.510928,-80.502115
ligne_droite,-102.396458,126.855657,-80.502083
ligne_droite,-100.923087,126.188325,-80.502046
ligne_droite,-98.789231,125.732294,-80.502004
ligne_droite,-95.414245,125.487555,-80.501948
ligne_droite,-91.589228,127.144631,-80.501925
ligne_droite,-89.339201,129.235484,-80.501935
ligne_droite,-87.546410,132.705442,-80.501981
ligne_droite,-86.914917,135.463626,-80.502031
ligne_droite,-87.234218,138.744549,-80.502106
ligne_droite,-87.952728,140.902180,-80.502163
ligne_droite,-89.019629,142.703921,-80.502218
ligne_droite,-89.963153,143.793869,-80.502256
ligne_droite,-91.291354,144.828214,-80.502298
ligne_droite,-92.822780,145.762467,-80.502341
ligne_droite,-94.506627,146.485409,-80.502383
ligne_droite,-96.088868,146.852455,-80.502415
ligne_droite,-99.463847,146.752419,-80.502464
ligne_droite,-102.715456,145.829374,-80.502494
ligne_droite,-104.769504,144.272367,-80.502492
ligne_droite,-104.769504,144.272367,-80.502492
ligne_droite,-107.621919,143.582874,-80.502524
ligne_droite,-109.356607,142.526342,-80.502530
ligne_droite,-111.613884,140.947098,-80.502533
ligne_droite,-114.038106,138.922989,-80.502532
ligne_droite,-117.551064,135.486442,-80.502522
ligne_droite,-123.960086,127.501164,-80.502478

ligne_droite,-126.514986,124.476106,-80.502468
ligne_droite,-154.473882,92.368324,-80.502536
ligne_droite,-159.162763,86.985530,-80.502576
ligne_droite,-161.848350,83.893762,-80.502602

ligne_droite,-163.960506,82.258927,-80.502634
ligne_droite,-169.150211,76.976253,-80.502704
ligne_droite,-171.538241,73.406244,-80.502725
ligne_droite,-172.619751,71.771381,-80.502736
ligne_droite,-173.294849,68.835260,-80.502721

rond_point_haut,-99.463847,146.752419,-80.502464
rond_point_haut,-102.715456,145.829374,-80.502494
rond_point_haut,-104.769504,144.272367,-80.502492
rond_point_haut,-106.090490,142.904417,-80.502483
rond_point_haut,-107.585695,140.246347,-80.502449
rond_point_haut,-108.101058,138.055372,-80.502410
rond_point_haut,-108.246253,136.287016,-80.502374
rond_point_haut,-107.803570,133.406473,-80.502306
rond_point_haut,-107.041510,131.682587,-80.502257
rond_point_haut,-105.677045,129.335870,-80.502186
rond_point_haut,-103.739181,127.611962,-80.502120
rond_point_haut,-102.396458,126.855657,-80.502083
rond_point_haut,-100.923087,126.188325,-80.502046
rond_point_haut,-98.789231,125.732294,-80.502004
rond_point_haut,-95.414245,125.487555,-80.501948
rond_point_haut,-91.589228,127.144631,-80.501925
rond_point_haut,-89.339201,129.235484,-80.501935
rond_point_haut,-87.546410,132.705442,-80.501981
rond_point_haut,-86.914917,135.463626,-80.502031
rond_point_haut,-87.234218,138.744549,-80.502106
rond_point_haut,-87.952728,140.902180,-80.502163
rond_point_haut,-89.019629,142.703921,-80.502218
rond_point_haut,-89.963153,143.793869,-80.502256
rond_point_haut,-91.291354,144.828214,-80.502298
rond_point_haut,-92.822780,145.762467,-80.502341
rond_point_haut,-94.506627,146.485409,-80.502383
rond_point_haut,-96.088868,146.852455,-80.502415
rond_point_haut,-99.463847,146.752419,-80.502464

rond_point_bas,-160.898070,65.809765,-80.502365
rond_point_bas,-161.427866,67.411313,-80.502395
rond_point_bas,-162.465725,69.190824,-80.502441
rond_point_bas,-163.532636,70.269666,-80.502480
rond_point_bas,-165.035041,71.081599,-80.502527
rond_point_bas,-167.524558,71.648883,-80.502599
rond_point_bas,-169.970550,71.426524,-80.502661
rond_point_bas,-171.915769,70.025244,-80.502697
rond_point_bas,-173.294849,68.835260,-80.502721
rond_point_bas,-173.991700,66.555323,-80.502716
rond_point_bas,-174.057130,63.218799,-80.502684
rond_point_bas,-173.186243,60.404969,-80.502633
rond_point_bas,-169.745965,57.969197,-80.502518
rond_point_bas,-166.581425,57.780030,-80.502433
rond_point_bas,-164.207984,58.814281,-80.502381
rond_point_bas,-162.371637,60.148837,-80.502347
rond_point_bas,-160.992501,63.251765,-80.502342
rond_point_bas,-160.898070,65.809765,-80.502365
