segment,x,y
rond_point_bas,685104.913538,6922511.651236
rond_point_bas,685104.387681,6922513.254679
rond_point_bas,685103.354049,6922515.037449
rond_point_bas,685102.289555,6922516.119391
rond_point_bas,685100.788735,6922516.935455
rond_point_bas,685098.299848,6922517.509325
rond_point_bas,685095.852470,6922517.293177
rond_point_bas,685093.903003,6922515.896428
rond_point_bas,685092.520406,6922514.709592
rond_point_bas,685091.817464,6922512.430686
rond_point_bas,685091.743440,6922509.093220
rond_point_bas,685092.607387,6922506.276215
rond_point_bas,685096.042551,6922503.830793
rond_point_bas,685099.207659,6922503.633432
rond_point_bas,685101.584547,6922504.661929
rond_point_bas,685103.424934,6922505.992210
rond_point_bas,685104.812502,6922509.092627
rond_point_bas,685104.913538,6922511.651236
sortie_rond_point_bas,685104.913538,6922511.651236
sortie_rond_point_bas,685105.204445,6922514.632122
sortie_rond_point_bas,685104.981011,6922518.059365
sortie_rond_point_bas,685103.411373,6922520.333052
sortie_rond_point_bas,685102.255441,6922522.550036
sortie_rond_point_bas,685101.914279,6922525.376807
sortie_rond_point_bas,685104.009409,6922529.743696
ligne_droite,685104.009409,6922529.743696
ligne_droite,685106.703835,6922532.829593
ligne_droite,685111.408109,6922538.202131
ligne_droite,685139.458830,6922570.248766
entree_rond_point_haut,685139.458830,6922570.248766
entree_rond_point_haut,685143.100849,6922571.986036
entree_rond_point_haut,685145.906703,6922573.258202
entree_rond_point_haut,685148.935064,6922573.539620
entree_rond_point_haut,685153.392641,6922573.394568
entree_rond_point_haut,685157.963995,6922572.325806
entree_rond_point_haut,685161.194670,6922572.228439
entree_rond_point_haut,685163.591515,6922572.567127
rond_point_haut,685166.576239,6922592.462987
rond_point_haut,685163.321174,6922591.547991
rond_point_haut,685161.262438,6922589.995744
rond_point_haut,685159.937496,6922588.630732
rond_point_haut,685158.434962,6922585.975619
rond_point_haut,685157.913796,6922583.785237
rond_point_haut,685157.764008,6922582.016665
rond_point_haut,685158.199435,6922579.134024
rond_point_haut,685158.957319,6922577.407604
rond_point_haut,685160.316208,6922575.056598
rond_point_haut,685162.250287,6922573.327135
rond_point_haut,685163.591515,6922572.567127
rond_point_haut,685165.063661,6922571.895786
rond_point_haut,685167.197057,6922571.434119
rond_point_haut,685170.572539,6922571.180625
rond_point_haut,685174.403090,6922572.828422
rond_point_haut,685176.659241,6922574.914189
rond_point_haut,685178.461548,6922578.380696
rond_point_haut,685179.100340,6922581.138177
rond_point_haut,685178.789365,6922584.421014
rond_point_haut,685178.076161,6922586.581212
rond_point_haut,685177.013536,6922588.386296
rond_point_haut,685176.072498,6922589.479032
rond_point_haut,685174.746513,6922590.517136
rond_point_haut,685173.216977,6922591.455636
rond_point_haut,685171.534426,6922592.183148
rond_point_haut,685169.952601,6922592.554382
rond_point_haut,685166.576239,6922592.462987
sortie_rond_point_haut,685161.262438,6922589.995744
sortie_rond_point_haut,685158.407300,6922589.313351
sortie_rond_point_haut,685156.669318,6922588.260925
sortie_rond_point_haut,685154.407230,6922586.686956
sortie_rond_point_haut,685151.976998,6922584.668402
sortie_rond_point_haut,685148.454036,6922581.239736
sortie_rond_point_haut,685142.022356,6922573.268267
sortie_rond_point_haut,685139.458830,6922570.248766
entree_rond_point_bas,685104.009409,6922529.743696
entree_rond_point_bas,685101.892349,6922528.113744
entree_rond_point_bas,685096.687342,6922522.842646
entree_rond_point_bas,685094.289344,6922519.277585
entree_rond_point_bas,685093.203273,6922517.644956
entree_rond_point_bas,685092.520406,6922514.709592
