segment,E,N,U

rond_point_haut,-91.76291471719742,127.25314714340492,-1.8921040296554563
rond_point_haut,-89.54047971963882,129.15504838852212,-1.889504551887512
rond_point_haut,-87.51819425821304,132.7005500975065,-1.8953922986984253
rond_point_haut,-86.99432188272476,135.50400163559243,-1.882625937461853
rond_point_haut,-87.3300228714943,138.74013139633462,-1.8870922327041624
rond_point_haut,-88.03250700235367,140.66377641586587,-1.8812605142593384
rond_point_haut,-88.789,141.98,-2.000409722328186
rond_point_haut,-90.18380552530289,143.657459277194,-1.879189133644104
rond_point_haut,-91.44863706827164,144.71506120590493,-1.883595585823059
rond_point_haut,-92.87056547403336,145.56473161606118,-1.8758383989334104
rond_point_haut,-94.533,146.24,-1.9902952909469604
rond_point_haut,-96.039,146.58,-1.9860330820083616




rond_point_bas,-172.1089077591896,61.18389131454751,-2.995780825614929
rond_point_bas,-169.25827604532242,58.89373399643228,-2.7135332822799683
rond_point_bas,-166.4654751420021,58.38858796982095,-2.697459101676941
rond_point_bas,-164.32446867227554,58.83662034897134,-2.6978172063827515
rond_point_bas,-162.28255277872086,59.9949493589811,-2.937670588493347
rond_point_bas,-160.4955044388771,63.04835130600259,-2.6778968572616577

