segment,E,N,U
map,-161.932,82.723,170.733
map,-158.486,86.747,248.410
map,-153.026,93.123,2607.191
map,-140.817,107.380,-171.233
map,-134.712,114.509,-66.628
map,-128.607,121.637,-37.944
map,-127.443,122.996,-25.643
map,-126.425,124.023,-19.806
map,-125.315,124.949,-16.785
map,-124.124,125.767,-15.378
map,-122.861,126.470,-15.020
map,-121.537,127.052,-15.476
map,-120.165,127.507,-16.607
map,-118.757,127.832,-18.390
map,-116.912,128.059,-20.600
map,-115.057,128.176,-22.902
map,-113.198,128.184,-25.041
map,-111.342,128.081,-27.243
map,-109.495,127.870,-30.879
map,-107.644,127.545,-39.997
map,-105.816,127.111,-76.708
map,-104.016,126.568,259.992
map,-102.253,125.918,41.533
map,-101.194,125.538,22.009
map,-100.102,125.264,15.567
map,-98.989,125.099,12.700
map,-97.865,125.047,11.393
map,-96.550,125.127,10.866
map,-95.253,125.359,10.752
map,-93.993,125.740,10.852
map,-92.785,126.265,11.027
map,-91.646,126.926,11.201
map,-90.591,127.716,11.336
map,-89.636,128.622,11.419
map,-88.792,129.633,11.456
map,-88.071,130.736,11.462
map,-87.483,131.914,11.451
map,-87.036,133.153,11.434
map,-86.735,134.436,11.418
map,-86.586,135.744,11.408
map,-86.590,137.062,11.404
map,-86.746,138.369,11.407
map,-87.053,139.650,11.414
map,-87.507,140.887,11.424
map,-88.101,142.062,11.433
map,-88.828,143.161,11.435
map,-89.677,144.167,11.423
map,-90.638,145.069,11.388
map,-91.696,145.852,11.324
map,-92.839,146.508,11.232
map,-94.049,147.026,11.127
map,-95.312,147.401,11.046
map,-96.610,147.626,11.088
map,-97.925,147.699,11.366
map,-98.906,147.654,12.058
map,-99.879,147.524,13.279
map,-100.838,147.310,15.259
map,-102.667,146.754,17.909
map,-104.452,146.072,21.054
map,-106.186,145.268,24.182
map,-107.860,144.346,26.944
map,-109.466,143.309,29.971
map,-110.997,142.164,35.088
map,-112.443,140.915,45.106
map,-113.800,139.568,71.366
map,-117.245,135.643,161.373
map,-120.689,131.717,3041.865
map,-122.142,130.142,-500.967
map,-123.670,128.639,-6776.073
map,-125.271,127.214,230.852
map,-126.900,125.820,110.387
map,-128.430,124.316,80.589
map,-129.853,122.711,83.067
map,-142.095,108.417,106.400
map,-148.216,101.270,202.100
map,-156.332,91.792,1244.556
map,-159.756,87.793,-671.877
map,-163.181,83.795,-1344.893
map,-165.038,81.564,253.634
map,-166.896,79.333,77.199
map,-169.255,76.488,38.918
map,-171.613,73.643,24.954
map,-172.398,72.543,18.297
map,-173.058,71.363,15.144
map,-173.585,70.119,13.405
map,-173.973,68.824,12.445
map,-174.217,67.495,11.689
map,-174.315,66.147,10.806
map,-174.264,64.796,9.780
map,-174.067,63.459,8.761
map,-173.899,62.722,7.899
map,-173.650,62.007,7.305
map,-173.324,61.325,6.949
map,-172.755,60.451,6.792
map,-172.059,59.675,6.758
map,-171.252,59.014,6.791
map,-170.354,58.484,6.832
map,-169.386,58.097,6.853
map,-168.371,57.863,6.845
map,-167.331,57.786,6.803
map,-166.413,57.850,6.740
map,-165.512,58.038,6.679
map,-164.645,58.345,6.624
map,-163.827,58.767,6.606
map,-162.988,59.364,6.645
map,-162.249,60.081,6.784
map,-161.626,60.902,7.099
map,-161.134,61.807,7.682
map,-160.784,62.775,8.653
map,-160.584,63.786,10.025
map,-160.539,64.815,11.760
map,-160.556,66.598,13.303
map,-160.500,68.381,14.361
map,-160.540,69.673,15.132
map,-160.737,70.951,16.945
map,-161.088,72.195,22.797
map,-161.588,73.388,55.680
map,-162.175,74.497,-58.168
map,-162.629,75.407,-17.550
map,-163.027,76.342,-10.517
map,-163.263,77.221,-7.949
map,-163.377,78.124,-6.905
map,-163.365,79.035,-6.625
map,-163.227,79.935,-6.774
map,-162.925,80.921,-7.290
map,-161.932,82.723,-7.942
