segment,E,N,U
map,-125.57794004678726,125.31663133529946,-2.509529948234558
map,-125.73328214883804,125.13302995590493,-2.5177334547042847
map,-125.89788633584976,124.93677141098306,-2.5254162549972534
map,-126.07337766885757,124.72926713852212,-2.533251166343689
map,-126.26034361124039,124.51153184799477,-2.5431331396102905
map,-126.45605283975601,124.28150560287759,-2.5503543615341187
map,-126.66164976358414,124.04014207748696,-2.5584367513656616
map,-126.87812620401382,123.78804399399087,-2.5686944723129272
map,-127.10383421182632,123.5253563108854,-2.5762985944747925
map,-127.33921629190445,123.2520408811979,-2.5885761976242065
map,-127.58456999063492,122.96951677231118,-2.601488471031189
map,-127.83859831094742,122.67753984360024,-2.6148489713668823
map,-128.1009731888771,122.3770179930143,-2.625452399253845
map,-128.37044340372086,122.06794359115884,-2.636405348777771
map,-128.6475277543068,121.75109483627602,-2.653183341026306
map,-128.93143278360367,121.42643358139321,-2.6681703329086304
map,-129.2207699418068,121.09394456772134,-2.678827166557312
map,-129.51810270547867,120.75640489486977,-2.685308337211609
map,-129.82095915079117,120.41273118881509,-2.691013216972351
map,-130.1288509964943,120.06361772445962,-2.6969302892684937
map,-130.44136625528336,119.71016313461587,-2.7028907537460327
map,-130.75765043497086,119.35237504867837,-2.7085474729537964
map,-131.0775356888771,118.99032976059243,-2.7130478620529175
map,-131.40186125040054,118.62527849106118,-2.717948794364929
map,-131.73038297891617,118.2572899046354,-2.7239941358566284
map,-132.0624447464943,117.8864402952604,-2.729678511619568
map,-132.39586454629898,117.51124956039712,-2.7334240674972534
map,-132.73137480020523,117.13245775131509,-2.7396920919418335
map,-133.07027250528336,116.75224687485024,-2.74500834941864
map,-133.41216093301773,116.37158586410806,-2.751913905143738
map,-133.75516325235367,115.99048234848306,-2.7553776502609253
map,-134.0980435013771,115.60815812973306,-2.755956530570984
map,-134.4398403763771,115.22421647934243,-2.757996439933777
map,-134.7823696732521,114.84011461166665,-2.765659213066101
map,-135.12633329629898,114.45678331283852,-2.7745083570480347
map,-135.47057157754898,114.07305528549477,-2.778767466545105
map,-135.81526762247086,113.68912889389321,-2.7825897932052612
map,-136.1601772904396,113.30421068100259,-2.7886561155319214
map,-136.5056362748146,112.91861345199868,-2.794063925743103
map,-136.85230070352554,112.53239824203774,-2.7982295751571655
map,-137.19995695352554,112.14594652084634,-2.803913950920105
map,-137.5498715043068,111.75993730453774,-2.8109039068222046
map,-137.90003019571304,111.37234117416665,-2.8184412717819214
map,-138.25176054239273,110.9837532225065,-2.8251532316207886
map,-138.6028500199318,110.59262468246743,-2.8324555158615112
map,-138.95454984903336,110.19982530502602,-2.83755099773407
map,-139.30933195352554,109.80767442611977,-2.840640425682068
map,-139.66573148965836,109.41436387924477,-2.844854235649109
map,-140.02364164590836,109.01938249496743,-2.852333903312683
map,-140.38162809610367,108.621570605319,-2.858479857444763
map,-140.7406216263771,108.22245408920571,-2.8667362928390503
map,-141.10222440958023,107.8232078733854,-2.8771246671676636
map,-141.46446806192398,107.42227556137368,-2.8872817754745483
map,-141.82762724161148,107.01989366440102,-2.8995670080184937
map,-142.19255644083023,106.61671831039712,-2.911192774772644
map,-142.55606657266617,106.21099473861977,-2.9169429540634155
map,-142.91887480020523,105.80323411850259,-2.920242190361023
map,-143.2840023636818,105.39650346664712,-2.9222925901412964
map,-143.64932829141617,104.98841478256509,-2.926897406578064
map,-144.01505094766617,104.579578417819,-2.9349230527877808
map,-144.3817806839943,104.16933824447915,-2.9405230283737183
map,-144.74939543008804,103.75862504867837,-2.944135069847107
map,-145.1181851029396,103.34645463852212,-2.9487417936325073
map,-145.48705106973648,102.93326188949868,-2.952125906944275
map,-145.8565121293068,102.51810838608071,-2.960119605064392
map,-146.22722440958023,102.10225297836587,-2.969394087791443
map,-146.5974789261818,101.68436815170571,-2.979503035545349
